time,open,high,low,close
2022.11.21 12:00,1739.99,1746.95,1735.94,1736.73
2022.11.21 16:00,1736.70,1739.64,1732.50,1735.39
2022.11.21 20:00,1735.39,1739.26,1735.39,1738.50
2022.11.22 00:00,1738.50,1745.02,1738.04,1744.22
2022.11.22 04:00,1744.22,1745.68,1740.35,1743.02
2022.11.22 08:00,1743.01,1749.69,1742.01,1748.53
2022.11.22 12:00,1748.53,1748.58,1741.67,1741.88
2022.11.22 16:00,1741.88,1742.21,1737.04,1738.20
2022.11.22 20:00,1738.15,1741.32,1737.25,1741.22
2022.11.23 00:00,1741.22,1742.91,1736.87,1737.17
2022.11.23 04:00,1737.15,1745.75,1732.93,1744.22
2022.11.23 08:00,1744.22,1744.65,1734.41,1739.48
2022.11.23 12:00,1739.47,1747.68,1726.46,1743.38
2022.11.23 16:00,1743.44,1753.34,1741.16,1751.88
2022.11.23 20:00,1751.88,1752.70,1749.01,1752.30
2022.11.24 00:00,1752.31,1756.58,1752.31,1756.30
2022.11.24 04:00,1756.32,1757.60,1752.66,1753.85
2022.11.24 08:00,1753.82,1758.64,1752.42,1758.29
2022.11.24 12:00,1758.29,1758.63,1755.13,1756.79
2022.11.24 16:00,1756.79,1757.36,1753.95,1755.02
2022.11.24 20:00,1755.32,1756.02,1754.14,1755.37
2022.11.25 00:00,1755.37,1759.66,1752.35,1759.59
2022.11.25 04:00,1759.58,1761.15,1751.51,1751.59
2022.11.25 08:00,1751.59,1754.44,1749.27,1751.06
2022.11.25 12:00,1751.07,1752.64,1745.92,1750.34
2022.11.25 16:00,1750.36,1756.33,1749.55,1754.44
2022.11.27 20:00,1754.11,1755.26,1750.07,1750.86
2022.11.28 00:00,1750.86,1753.91,1746.01,1749.59
2022.11.28 04:00,1749.59,1754.10,1748.43,1750.77
2022.11.28 08:00,1750.72,1763.73,1749.88,1758.63
2022.11.28 12:00,1758.66,1759.17,1743.03,1745.49
2022.11.28 16:00,1745.50,1746.79,1739.64,1740.25
2022.11.28 20:00,1740.25,1742.00,1739.54,1741.27
2022.11.29 00:00,1741.27,1750.53,1740.31,1750.42
